Addresses,Prices,Beds,Baths,Square Footage
"Winchell Way Apartments Kalamazoo, MI 49008","$1,185 - $1,282/mo",1-2bd,1ba,No Data
"Redwood Texas Township Apartments Kalamazoo, MI 49009","$1,799 - $2,299/mo",2bd,2ba,No Data
"Summer Ridge Apartments Kalamazoo, MI 49009","$1,183 - $1,588/mo",1-2bd,1-2ba,No Data
"4 Bedroom, 2 Bathroom - Townhomes close to WMU Kalamazoo, MI 49006","$1,775/mo",4bd,2ba,No Data
"Nottingham Place Apartments Kalamazoo, MI 49009","$830 - $1,225/mo",1-3bd,1-1.5ba,No Data
"1201 Greenwood Ave Apartments Kalamazoo, MI 49006",$800 - $950/mo,1-2bd,1-1.5ba,No Data
"1111 Douglas Terrace - 3 Unit in Stuart Neighborhood Near K College Kalamazoo, MI 49007",$650/mo,2bd,1ba,No Data
"6025 Briarcliff Path #C Kalamazoo, MI 49009","$1,095/mo",2bd,1ba,No Data
"713 Minor St- Duplex Near WMU in the Vine Neighborhood Kalamazoo, MI 49008",$850/mo,2bd,1ba,No Data
"1274 Red Pine Way Kalamazoo, MI 49006","$1,500/mo",4bd,2ba,"1,500 sqft"
"142 Hutchinson St #E Kalamazoo, MI 49001",$900/mo,2bd,1ba,No Data
"828 Village Ct Kalamazoo, MI 49008","$1,450/mo",3bd,1ba,"1,050 sqft"
"941 W Lovell St #2 Kalamazoo, MI 49007","$1,100/mo",2bd,1ba,650 sqft
"344 N Rose St #1 Kalamazoo, MI 49007","$2,500/mo",2bd,2ba,"1,200 sqft"
"316 S Kalamazoo Mall #202 Kalamazoo, MI 49007","$3,200/mo",2bd,2ba,"1,935 sqft"
"934 Bellevue Pl Kalamazoo, MI 49007","$1,750/mo",5bd,1.5ba,"1,645 sqft"
"913 Egleston Ave #1 Kalamazoo, MI 49001",$975/mo,2bd,1ba,870 sqft
"3431 Kenbrooke Ct Kalamazoo, MI 49006","$1,000/mo",2bd,1.5ba,900 sqft
"711 N Dartmouth St Kalamazoo, MI 49006","$1,500/mo",2bd,1ba,900 sqft
"Address Not Disclosed Kalamazoo, MI 49001","$1,395/mo",3bd,1ba,"1,368 sqft"
"1714 Upland Dr Kalamazoo, MI 49048","$1,900/mo",3bd,2ba,"1,600 sqft"
"809 W Cedar St #3 Kalamazoo, MI 49007",$825/mo,1bd,1ba,600 sqft
"142 Hutchinson St #D Kalamazoo, MI 49001",$900/mo,2bd,1ba,No Data
"809 W Cedar St #2 Kalamazoo, MI 49007",$950/mo,1bd,1ba,700 sqft
"808 W Kalamazoo Ave #3 Kalamazoo, MI 49007","$1,250/mo",4bd,1ba,No Data
"821 W Kalamazoo Ave #3 Kalamazoo, MI 49007",$950/mo,1bd,1ba,377 sqft
"1329 Huntington Ave Kalamazoo, MI 49048",$850/mo,2bd,1ba,846 sqft (on 0.61 acres)
"430 W Walnut St #2 Kalamazoo, MI 49007","$1,100/mo",3bd,1ba,920 sqft
"605 W Cedar St Kalamazoo, MI 49007","$1,700/mo",5bd,3ba,"2,083 sqft"
"441 Woodward Ave #B Kalamazoo, MI 49007","$1,100/mo",1bd,1ba,700 sqft
"1726 Commonwealth Ave Kalamazoo, MI 49006",$950/mo,2bd,1ba,No Data
"3429 W Michigan Ave Kalamazoo, MI 49006","$1,800/mo",6bd,2ba,No Data
"222 N Kalamazoo Mall #220 Kalamazoo, MI 49007","$2,495/mo",2bd,2ba,"1,600 sqft (on 0.28 acres)"
"3501 Claxton St Kalamazoo, MI 49048","$1,850/mo",3bd,2ba,"1,308 sqft (on 0.26 acres)"
"1264 Red Pine Way Kalamazoo, MI 49006","$1,500/mo",4bd,2ba,"1,500 sqft"
"1108 Woodward Ave Kalamazoo, MI 49007","$1,495/mo",3bd,1ba,"1,502 sqft"
"336 S Kalamazoo Mall #602 Kalamazoo, MI 49007","$3,200/mo",2bd,2ba,"1,750 sqft"
"5723 E G Ave #1 Kalamazoo, MI 49004",$950/mo,2bd,1ba,No Data
"809 W Cedar St #4 Kalamazoo, MI 49007",$975/mo,2bd,1ba,875 sqft
"1405 S Burdick St Kalamazoo, MI 49001","$1,349/mo",3bd,1ba,"1,186 sqft"
"902 Davis St Kalamazoo, MI 49008","$1,600/mo",5bd,1.5ba,"1,612 sqft"
"208 Elm St #3 Kalamazoo, MI 49007","$1,250/mo",4bd,1ba,"1,000 sqft"
"723 S Westnedge Ave #2 Kalamazoo, MI 49007","$1,200/mo",1bd,1ba,"1,200 sqft"
"8951 Almena Dr Kalamazoo, MI 49009","$1,800/mo",3bd,2ba,"1,200 sqft (on 1.65 acres)"
"3427 W Michigan Ave Kalamazoo, MI 49006","$1,950/mo",5bd,2ba,"3,600 sqft (on 0.36 acres)"
"1114 Hays Park Ave Kalamazoo, MI 49001","$1,695/mo",3bd,1ba,"1,395 sqft (on 0.91 acres)"
"105 N Kendall Ave #1D Kalamazoo, MI 49006","$1,350/mo",2bd,1ba,790 sqft
"911 W South St #1 Kalamazoo, MI 49007",$950/mo,2bd,1ba,850 sqft
"105 N Kendall Ave #3T Kalamazoo, MI 49006","$1,500/mo",2bd,1ba,880 sqft
"511 Sprague Ave #105 Kalamazoo, MI 49006",$990/mo,2bd,1ba,820 sqft
"1908 Academy St Kalamazoo, MI 49006","$2,400/mo",6bd,3ba,"2,300 sqft"
"1332 Knollwood Ave Kalamazoo, MI 49006","$3,600/mo",8bd,3ba,"2,808 sqft"
"711 Simpson St Kalamazoo, MI 49007","$1,200/mo",4bd,1ba,"1,127 sqft"
"4153 W Michigan Ave #4153 Kalamazoo, MI 49006",$400/mo,1bd,No Data,No Data
"110 E Michigan Ave #202 Kalamazoo, MI 49007","$2,500/mo",1bd,1ba,"1,472 sqft"
"426 Bellevue Pl Kalamazoo, MI 49007","$1,800/mo",4bd,2ba,"1,566 sqft"
"316 S Kalamazoo Mall #213 Kalamazoo, MI 49007","$2,700/mo",2bd,2ba,"1,575 sqft"
"336 S Kalamazoo Mall #507 Kalamazoo, MI 49007","$2,500/mo",2bd,2ba,"1,475 sqft"
"710 Axtell - 6 Bedroom House with Studio Apt Attached Kalamazoo, MI 49008","$1,700/mo",6bd,2ba,No Data
"815 Kalamazoo Ave- 5 Unit Apartment Building Downtown Kzoo Featuring Studios, 1 BR and 2 BR Apts Kalamazoo, MI 49007",$800/mo,1bd,1ba,No Data
"516 Douglas Ave #2 Kalamazoo, MI 49007",$850/mo,2bd,1ba,800 sqft
"1243 Jack Pine Way Kalamazoo, MI 49006","$1,950/mo",6bd,2ba,"1,920 sqft"
"Address Not Disclosed Kalamazoo, MI 49007","$3,800/mo",1bd,1ba,750 sqft
"743 Academy- Duplex Near WMU/K College with a 4 BR unit and a 5 BR unit. Kalamazoo, MI 49007","$1,250/mo",3bd,1ba,No Data
"631 Davis St #2 Kalamazoo, MI 49007","$1,600/mo",5bd,2ba,"1,504 sqft"
"712-714 Lovell - Great 3 Bedroom Duplex Near Downtown & WMU/K College Kalamazoo, MI 49007","$1,300/mo",3bd,1ba,No Data
"424 W Vine St #2 Kalamazoo, MI 49007","$1,200/mo",3bd,1ba,920 sqft
"1920 S Westnedge Ave #4 Kalamazoo, MI 49008","$1,200/mo",2bd,1ba,No Data
"701 Davis St Kalamazoo, MI 49007","$2,000/mo",7bd,2ba,"1,638 sqft"
"703 W Walnut Street- 1 bedroom Apts in the Vine Neighborhood Kalamazoo, MI 49007",$690/mo,1bd,1ba,No Data
"1217-1219 Lafayette- Duplex featuring (2) 3 BR/1 BA units near WMU Kalamazoo, MI 49006","$1,200/mo",3bd,1ba,No Data
"1204-1208 Greenwood-(2) 6 Bedroom, 2 Bathroom Duplex just west of WMU Kalamazoo, MI 49006","$2,376/mo",6bd,3ba,No Data
"1433 Knollwood Ave Kalamazoo, MI 49006","$2,250/mo",6bd,2ba,"1,960 sqft (on 0.57 acres)"
"1 bed, 650 sqft, $3,000 Kalamazoo, MI 49001","$3,000/mo",1bd,1ba,No Data
"827 W Cedar St Kalamazoo, MI 49007","$1,650/mo",5bd,2ba,"1,688 sqft"
"838 Davis St- Duplex Near WMU Featuring 2 Units. A 4 BR Apt and 5 BR Apt. Kalamazoo, MI 49008","$1,100/mo",4bd,1ba,No Data
"6063 Briarcliff Path #C Kalamazoo, MI 49009","$1,095/mo",2bd,1ba,No Data
"1513 Washington Ave #2 Kalamazoo, MI 49001",$600/mo,1bd,1ba,900 sqft
"520 Pearl 5 Bedroom 2.5 Bath House Near WMU K College Kalamazoo, MI 49007","$1,500/mo",6bd,2.5ba,No Data
"1124-1126 W Lafayette- Duplex Featuring 6 BR/3 Baths. *Available Fall 2022* Kalamazoo, MI 49006","$2,376/mo",6bd,3ba,No Data
"817 Ferris Ct Kalamazoo, MI 49007",$825/mo,2bd,1ba,825 sqft
"6041 Briarcliff Path #C Kalamazoo, MI 49009","$1,095/mo",2bd,1ba,No Data
"105 N Kendall Ave #3G Kalamazoo, MI 49006",$995/mo,Studio,1ba,486 sqft
"802 W Kalamazoo-3 Unit Building in the Stuart Neighborhood-1&2 BR Apts Kalamazoo, MI 49007",$775/mo,1bd,1ba,No Data
"1140 Greenwood Ave- Duplex with (2) 6 Bedroom/2 Bath Units Near WMU Kalamazoo, MI 49006","$1,560 - $2,376/mo",4-6bd,2ba,No Data
"208 Woodward Ave #1 Kalamazoo, MI 49007","$2,000/mo",4bd,2ba,No Data
"1435 Knollwood Ave Kalamazoo, MI 49006","$2,250/mo",6bd,2ba,"1,960 sqft"
"3325 W Michigan Ave #F Kalamazoo, MI 49006","$2,100/mo",6bd,3.5ba,"2,200 sqft"
"819 Trimble Ave Kalamazoo, MI 49048","$1,225/mo",3bd,1ba,"1,300 sqft"
"105 N Kendall Ave #1U Kalamazoo, MI 49006","$1,500/mo",2bd,1ba,880 sqft
"447 Walnut- 15 Units Downtown Kalamazoo Kalamazoo, MI 49007","$1,350/mo",5bd,1ba,No Data
"105 N Kendall Ave #1M Kalamazoo, MI 49006","$1,100/mo",1bd,1ba,595 sqft
"525 N Arlington St #C5 Kalamazoo, MI 49006",$895/mo,2bd,1ba,800 sqft
"2115 Aberdeen Dr Kalamazoo, MI 49008","$2,400/mo",2bd,3.5ba,"3,116 sqft (on 0.49 acres)"
"715 Davis St Kalamazoo, MI 49007","$1,500/mo",5bd,2ba,"2,200 sqft"
"1407 Sutherland Ave Kalamazoo, MI 49006","$2,125/mo",5bd,2ba,"1,008 sqft"
"105 N Kendall Ave #1P Kalamazoo, MI 49006","$1,350/mo",2bd,1ba,790 sqft
"925 W Lovell St Kalamazoo, MI 49007","$2,500/mo",8bd,4ba,"2,160 sqft"
"4111 W Michigan Ave Kalamazoo, MI 49006","$2,400/mo",6bd,3.5ba,"2,280 sqft"
"3902 W Michigan 6BR 3.5 Bath near WMU **Available August 2022 Kalamazoo, MI 49006","$2,000 - $2,200/mo",6bd,3.5ba,No Data
"4117 W Michigan Ave Kalamazoo, MI 49006","$1,600/mo",4bd,3ba,"1,560 sqft"
"820 W Vine St Kalamazoo, MI 49008","$1,800/mo",4bd,2ba,"1,568 sqft"
"931 W Lovell St Kalamazoo, MI 49007","$2,525/mo",9bd,3ba,"2,564 sqft"
"110 E Michigan Ave #304 Kalamazoo, MI 49007","$1,900/mo",1bd,1ba,862 sqft
"336 S Kalamazoo Mall #206 Kalamazoo, MI 49007","$2,500/mo",1bd,1ba,770 sqft
"10640 W M Ave Kalamazoo, MI 49009","$1,000/mo",1bd,1ba,"1,110 sqft (on 2 acres)"
"721 Westbury Ln Kalamazoo, MI 49006","$1,950/mo",3bd,1.5ba,"2,048 sqft"
"1329 Fraternity Village Dr Kalamazoo, MI 49006","$3,300/mo",6bd,3ba,"2,218 sqft"
"1235 Red Pine Way Kalamazoo, MI 49006","$1,580/mo",4bd,2ba,"1,568 sqft (on 0.25 acres)"
"935 Bellevue Pl Kalamazoo, MI 49007","$1,400/mo",4bd,1ba,"1,218 sqft"
"942 Bellevue Pl Kalamazoo, MI 49007","$2,000/mo",5bd,2ba,"1,911 sqft"
"946 Bellevue Pl Kalamazoo, MI 49007","$3,800/mo",8bd,3ba,"2,294 sqft"
"708 McCourtie St Kalamazoo, MI 49008","$2,000/mo",4bd,2ba,"1,543 sqft"
"204 Elm Pl Kalamazoo, MI 49007","$1,300/mo",4bd,2.5ba,"1,700 sqft"
"215 Rose Pl Kalamazoo, MI 49001","$3,750/mo",2bd,1.5ba,"1,400 sqft"
"7297 Liggett St Kalamazoo, MI 49048","$1,200/mo",3bd,2ba,No Data
"1005 Farrell Ave Kalamazoo, MI 49006","$1,800/mo",3bd,1.5ba,"2,600 sqft"
"2535 Mount Olivet Rd Kalamazoo, MI 49004",$697/mo,1bd,1ba,"24,500 sqft"
"908 S Park St #2 Kalamazoo, MI 49001",$800/mo,2bd,1ba,No Data
"634 W Kalamazoo Ave Kalamazoo, MI 49007","$1,200/mo",3bd,2ba,"1,600 sqft"
"534 Gayle Ave Kalamazoo, MI 49048","$1,200/mo",2bd,1ba,No Data
"709 W Willard St #C Kalamazoo, MI 49007",$715/mo,1bd,1ba,No Data
"Kalamazoo Village Apartments Kalamazoo, MI 49001","$1,055 - $1,214/mo",2-3bd,2ba,No Data
"Willow Creek Group Apartments Kalamazoo, MI 49008","$1,084 - $1,291/mo",1-2bd,1ba,No Data
"Hunters Ridge Apartments Kalamazoo, MI 49006",$440/mo,2bd,2ba,No Data
"Dover Hills Apartments Kalamazoo, MI 49009","$980 - $1,335/mo",1bd,1ba,No Data
"1314 Oak St Kalamazoo, MI 49008","$1,600/mo",3bd,2ba,No Data
"4480 Burr Ridge Rd Portage, MI 49024","$2,595/mo",4bd,2.5ba,"1,830 sqft"
"7325 Salerno Cir Portage, MI 49024","$2,300/mo",3bd,2ba,"2,249 sqft"
"5643 Claremount St Portage, MI 49024","$2,595/mo",4bd,2.5ba,"1,810 sqft"
"5642 Claremount St Portage, MI 49024","$2,595/mo",4bd,2.5ba,"1,830 sqft"
"5445 Lovers Ln Portage, MI 49002","$1,250/mo",2bd,1ba,"1,552 sqft (on 0.38 acres)"
