Addresses,Prices,Beds,Baths,Square Footage,Listing Duration
,,,,,
"2203 Mount Olivet Rd #3 Kalamazoo, MI 49004",575,1bd,1ba,400 sqft,1
"3604 Kenbrooke Ct Kalamazoo, MI 49006",900,1bd,1ba,No Data,1
"3604 Kenbrooke Ct Kalamazoo, MI 49006",900,1bd,1ba,No Data,3
"822 Davis St Kalamazoo, MI 49008",925,1bd,1ba,650 sqft,3
"718 W Kalamazoo Ave #2 Kalamazoo, MI 49007",725,1bd,1ba,No Data,1
"718 W Kalamazoo Ave #2 Kalamazoo, MI 49007",725,1bd,1ba,No Data,1
"10640 W M Ave Kalamazoo, MI 49009",800,1bd,1ba,777 sqft (on 2 acres),3

"Matterhorn Townhomes West of WMU Campus Kalamazoo, MI 49006",$930/mo,2bd,1.5ba,No Data,52
"1816 State St Kalamazoo, MI 49001","$1,495/mo",4bd,1.5ba,"1,500 sqft",52
"3301 W Michigan Ave #306 Kalamazoo, MI 49006",$850/mo,2bd,1ba,800 sqft,52
"619 W Lovell St Kalamazoo, MI 49007","$1,100/mo",3bd,1ba,"1,200 sqft",52
"518 Wheaton Ave Kalamazoo, MI 49008","$1,400/mo",4bd,1.5ba,"1,700 sqft",52
"817 W Vine St Kalamazoo, MI 49008","$1,800/mo",5bd,2.5ba,"1,500 sqft",52
"427 Elm St #2 Kalamazoo, MI 49007","$1,350/mo",3bd,1ba,No Data,52
"618 Axtell St Kalamazoo, MI 49008","$1,400/mo",4bd,2ba,"1,412 sqft",52
"1001 Davis St Kalamazoo, MI 49008","$1,800/mo",5bd,2ba,"1,800 sqft",52
"1001 Davis St Kalamazoo, MI 49008","$1,800/mo",5bd,2ba,"1,800 sqft",52
"315 Douglas Ave #315 Kalamazoo, MI 49007","$1,299/mo",3bd,2ba,"1,100 sqft",52
"1517 Texel Dr Kalamazoo, MI 49048","$1,450/mo",4bd,1ba,"1,080 sqft",52
"1002 S Westnedge Ave Kalamazoo, MI 49008","$1,800/mo",6bd,3ba,"1,800 sqft",52
"1513 Washington Ave #1 Kalamazoo, MI 49001",$500/mo,1bd,1ba,800 sqft,52
"Duplex featuring 6 BR, 3 Bath Townhomes bordering WMU campus Kalamazoo, MI 49006","$2,200/mo",6bd,3ba,No Data,52
"Duplex featuring 6 BR, 3 Bath Townhomes bordering WMU campus Kalamazoo, MI 49006","$2,400/mo",6bd,3ba,No Data,52
"5394 Thayer Ave #B Kalamazoo, MI 49004","$1,050/mo",3bd,1ba,"1,100 sqft",52
"1506 Knollwood Ave Kalamazoo, MI 49006","$1,940/mo",4bd,3ba,"2,000 sqft",52
"1227 Jefferson Ave Kalamazoo, MI 49006","$2,400/mo",5bd,2ba,"2,600 sqft",36
"621 Forest St Kalamazoo, MI 49008","$1,400/mo",4bd,2ba,"1,250 sqft",36
"624 Locust St Kalamazoo, MI 49007","$1,325/mo",4bd,1.5ba,No Data,36
"602 Forest St Kalamazoo, MI 49008","$1,500/mo",6bd,2ba,"1,938 sqft",36
"824 Village Ct Kalamazoo, MI 49008","$1,300/mo",3bd,1ba,"1,001 sqft",36
"5723 E G Ave #3 Kalamazoo, MI 49004",$850/mo,2bd,1ba,800 sqft,10
"3817 Miller Rd Kalamazoo, MI 49001","$1,100/mo",3bd,1ba,No Data,10
"829 Davis St Kalamazoo, MI 49008","$1,700/mo",5bd,2ba,"1,846 sqft (on 0.39 acres)",10
"2624 Kalanco St Kalamazoo, MI 49001","$1,300/mo",3bd,2ba,"1,059 sqft",10
"932 Warren Pl #2 Kalamazoo, MI 49006","$1,200/mo",1bd,1ba,No Data,10
"431 W Vine St Kalamazoo, MI 49001","$1,850/mo",6bd,3ba,"2,560 sqft",10
"425 Davis St Kalamazoo, MI 49007","$1,675/mo",4bd,2ba,"1,416 sqft",10
"523 McCourtie St #2 Kalamazoo, MI 49008",$800/mo,2bd,1ba,700 sqft,10
"1924 S Westnedge Ave #3 Kalamazoo, MI 49008",$900/mo,2bd,1ba,No Data,10
"1423 Oak St Kalamazoo, MI 49008","$1,150/mo",3bd,1ba,"1,200 sqft",10
"1807 N Burdick St Kalamazoo, MI 49007","$1,100/mo",3bd,1ba,No Data,10
"818 Vine Pl Kalamazoo, MI 49008",$950/mo,1bd,1ba,700 sqft,10
"6307 Atlantic Ave #2 Kalamazoo, MI 49009","$1,095/mo",1bd,1ba,"1,000 sqft",10
"1331 Sutherland Ave Kalamazoo, MI 49006","$2,250/mo",5bd,2ba,"2,438 sqft",10
"718 Eleanor St #1 Kalamazoo, MI 49007",$825/mo,1bd,1ba,No Data,10
"904 Village St Kalamazoo, MI 49008","$1,850/mo",5bd,2ba,"1,764 sqft",10
"632 W Kalamazoo Ave #632 Kalamazoo, MI 49007","$1,150/mo",3bd,2ba,No Data,10
"314 Douglas Ave Kalamazoo, MI 49007","$1,550/mo",4bd,2ba,"1,500 sqft",10
"1806 Grand Ave Kalamazoo, MI 49006","$2,000/mo",4bd,2ba,"1,840 sqft (on 0.34 acres)",10
"336 S Kalamazoo Mall #504 Kalamazoo, MI 49007","$1,950/mo",2bd,2ba,"1,200 sqft",10
"4100 S 6th St Kalamazoo, MI 49009","$1,950/mo",3bd,2ba,"2,000 sqft (on 0.81 acres)",10
"1821 Nazareth Rd Kalamazoo, MI 49048","$1,600/mo",3bd,2ba,"1,750 sqft",10
"1625 S Crooked Lake Dr Kalamazoo, MI 49009","$1,800/mo",2bd,1ba,987 sqft,10
"2007 Stearns Ave #1 Kalamazoo, MI 49008","$1,395/mo",2bd,1ba,No Data,10
"729 W Vine St Kalamazoo, MI 49008","$1,320/mo",4bd,1.5ba,"1,500 sqft",10
"311 W Vine St Kalamazoo, MI 49001","$1,800/mo",4bd,2ba,"2,184 sqft",10
"707 McCourtie St #2 Kalamazoo, MI 49008",$650/mo,2bd,1ba,623 sqft,10
"509 Alecia Ave Kalamazoo, MI 49004","$1,995/mo",3bd,2.5ba,"1,840 sqft (on 0.39 acres)",10
"812 Oak St Kalamazoo, MI 49008","$1,800/mo",5bd,2ba,"1,790 sqft",10
"3522 Kenbrooke Ct Kalamazoo, MI 49006",$895/mo,1bd,1ba,682 sqft,10
"155 W Michigan Ave #1210 Kalamazoo, MI 49007","$3,900/mo",1bd,1ba,850 sqft,10
"525 Wheaton Ave Kalamazoo, MI 49008","$1,800/mo",5bd,2ba,"1,664 sqft (on 0.35 acres)",10
"230 Maple St Parchment, MI 49004","$1,100/mo",2bd,1ba,"1,318 sqft",10
"1202 4th St Kalamazoo, MI 49001","$1,000/mo",2bd,1ba,771 sqft,10
"437 W Crooked Lake Dr Kalamazoo, MI 49009","$1,850/mo",1bd,1.5ba,750 sqft (on 0.30 acres),10
"4511 Clayborne Dr Kalamazoo, MI 49009",$750/mo,Studio,1ba,288 sqft,10
"828 Gibson - Duplex Kalamazoo, MI 49001",$750/mo,1bd,1ba,No Data,10
"6165 Applegrove Ln Portage, MI 49024","$1,415/mo",3bd,2.5ba,"1,130 sqft",10
"6042 Applegrove Ln Portage, MI 49024","$1,255/mo",1bd,1ba,640 sqft,10
"4821 Idlewood Ave Portage, MI 49024","$2,200/mo",4bd,3.5ba,"2,400 sqft",10
"10312 Pennridge Dr Portage, MI 49024","$2,095/mo",3bd,2ba,"1,530 sqft",10
"126 E Kilgore Rd #A Portage, MI 49002","$1,400/mo",2bd,2ba,"1,057 sqft",10
"4220 Chelten Ave Kalamazoo, MI 49006","$1,500/mo",3bd,2ba,"2,086 sqft (on 0.36 acres)",8
"110 E Michigan Ave #205 Kalamazoo, MI 49007","$2,650/mo",2bd,2ba,"1,750 sqft",8
"421 Bellevue Pl Kalamazoo, MI 49007","$1,600/mo",4bd,2ba,"1,604 sqft",8
"105 N Kendall Ave #2R Kalamazoo, MI 49006","$1,200/mo",2bd,1ba,790 sqft,8
"110 E Michigan Ave #402 Kalamazoo, MI 49007","$2,500/mo",1bd,1ba,"1,475 sqft",8
"2212 Sagebrush St Kalamazoo, MI 49006","$2,095/mo",3bd,2.5ba,"1,840 sqft",8
"527 Idaho Ave Portage, MI 49024",$900/mo,2bd,1ba,No Data,8
"6790 Texas Dr Kalamazoo, MI 49009","$1,100/mo",2bd,1ba,800 sqft (on 0.60 acres),1
"3449 Kenbrooke Ct Kalamazoo, MI 49006",$875/mo,2bd,1.5ba,894 sqft,1
"1925 Nichols - Duplex Kalamazoo, MI 49006",$875/mo,2bd,1ba,No Data,1
"618 W Lovell St #2 Kalamazoo, MI 49007",$825/mo,1bd,1ba,700 sqft,1
"903 Westfall Ave Kalamazoo, MI 49006","$1,800/mo",5bd,2ba,902 sqft,1
"1028 Jackson St #1 Kalamazoo, MI 49001","$1,195/mo",2bd,1ba,880 sqft,1
"1028 Jackson St #2 Kalamazoo, MI 49001","$1,195/mo",2bd,1ba,880 sqft,1
"1023 Washington Ave #1 Kalamazoo, MI 49001",$700/mo,1bd,1ba,650 sqft,1
"1126-1128 Greenwood- Duplex featuring (2) 4 BR/2BA Units West of WMU Kalamazoo, MI 49006","$1,800/mo",4bd,2ba,No Data,1
"3009 W Michigan Ave Kalamazoo, MI 49006","$2,700/mo",6bd,2ba,"1,500 sqft (on 0.25 acres)",1
"1120-1122 W Laffayette- Duplex Featuring 2, 4 BR/4.5 Bath Units. Kalamazoo, MI 49006","$1,900/mo",4bd,4.5ba,No Data,1
"428 Douglas Ave #2 Kalamazoo, MI 49007","$2,000/mo",4bd,4ba,"1,500 sqft",1
"2026 Woodward Ave Kalamazoo, MI 49007","$2,500/mo",4bd,2ba,"1,310 sqft (on 0.92 acres)",1
"1262 Redpine Way Kalamazoo, MI 49006","$1,600/mo",4bd,2ba,"1,500 sqft",1
"134 S Clarendon St Kalamazoo, MI 49006","$1,500/mo",3bd,2.5ba,"1,568 sqft",1
"441 W Cedar St #2 Kalamazoo, MI 49007",$900/mo,1bd,1ba,700 sqft,1
"6740 Amberly St Portage, MI 49024","$1,900/mo",4bd,2ba,"1,389 sqft",1
